"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"AND","","ALL","1996","78"
"AND","","ALL","1997","73"
"AND","","ALL","1998","74"
"AND","","ALL","1999","70"
"ARM","","ALL","1980","84.2"
"ARM","","ALL","1981","85.33"
"ARM","","ALL","1982","85.15"
"ARM","","ALL","1983","87.8"
"ARM","","ALL","1984","86.09"
"ARM","","ALL","1985","86.04"
"ARM","","ALL","1986","82.24"
"ARM","","ALL","1987","79.35"
"ARM","","ALL","1988","70.75"
"ARM","","ALL","1989","69.03"
"ARM","","ALL","1990","65.56"
"ARM","","ALL","1991","59.52"
"ARM","","ALL","1992","48.63"
"ARM","","ALL","1993","42.35"
"ARM","","ALL","1994","42.72"
"ARM","","ALL","1995","40.14"
"ARM","","ALL","1996","40.41"
"ARM","","ALL","1997","36.07"
"ARM","","ALL","1998","30.21"
"ARM","","ALL","1999","29.38"
"ARM","","ALL","2000","28.21"
"ARM","","ALL","2001","31.6"
"ARM","","ALL","2002","37.3"
"ARM","","ALL","2003","40.7"
"ARM","","ALL","2004","41.8"
"ARM","","ALL","2005","46"
"ARM","","ALL","2006","44.8"
"ARM","","ALL","2007","48.6"
"ARM","","ALL","2008","56.7"
"ARM","","ALL","2009","57.8"
"ARM","","ALL","2010","57.3"
"ARM","","ALL","2011","58.6"
"ARM","","ALL","2012","61.9"
"ARM","","ALL","2013","62.2"
"ARM","","ALL","2014","65.5"
"ARM","","ALL","2015","64.1"
"AUT","","ALL","1989","87.23652303"
"AUT","","ALL","1990","91.7261468"
"AUT","","ALL","1991","89.3035802"
"AUT","","ALL","1992","87.81785261"
"AUT","","ALL","1993","87.98604159"
"AUT","","ALL","1994","87.20547476"
"AUT","","ALL","1995","89.46907744"
"AUT","","ALL","1996","89.87497337"
"AUT","","ALL","1997","81.9578298"
"AUT","","ALL","1998","85.13724838"
"AUT","","ALL","1999","83.58362551"
"AUT","","ALL","2000","82.63968442"
"AUT","","ALL","2001","83.25373513"
"AUT","","ALL","2002","83.98868036"
"AUT","","ALL","2003","84.77634913"
"AUT","","ALL","2004","88.39491103"
"AUT","","ALL","2005","86.21068476"
"AUT","","ALL","2006","86.97095633"
"AUT","","ALL","2007","86.94421993"
"AUT","","ALL","2008","87.73195756"
"AUT","","ALL","2009","86.91335236"
"AUT","","ALL","2010","86.15194054"
"AUT","","ALL","2011","85.46373069"
"AUT","","ALL","2012","82.7"
"AUT","","ALL","2013","80.2"
"AUT","","ALL","2014","82.7"
"AZE","","ALL","1999","30"
"AZE","","ALL","2000","28.5"
"AZE","","ALL","2001","25.7"
"AZE","","ALL","2002","25.6"
"AZE","","ALL","2003","26.1"
"AZE","","ALL","2004","27.1"
"AZE","","ALL","2005","25.6"
"AZE","","ALL","2006","26.9"
"AZE","","ALL","2007","27.8"
"AZE","","ALL","2008","27.6"
"AZE","","ALL","2009","29.5"
"AZE","","ALL","2010","34.1"
"AZE","","ALL","2011","37.8"
"AZE","","ALL","2012","41.5"
"AZE","","ALL","2013","37.9"
"AZE","","ALL","2014","36.4"
"AZE","","ALL","2015","36.7"
"AZE","","ALL","2016","36.5"
"AZE","","ALL","2017","36.3"
"BEL","","ALL","1986","83.3"
"BEL","","ALL","1987","85.9"
"BEL","","ALL","1988","83"
"BEL","","ALL","1989","82.2"
"BEL","","ALL","1990","81.9"
"BEL","","ALL","1991","83.1"
"BEL","","ALL","1992","82"
"BEL","","ALL","1993","81.1"
"BEL","","ALL","1994","79.6"
"BEL","","ALL","1995","79.7"
"BEL","","ALL","1996","79.5"
"BEL","","ALL","1997","77.7"
"BEL","","ALL","1998","78.9"
"BEL","","ALL","1999","78.6"
"BEL","","ALL","2000","78.8"
"BEL","","ALL","2001","78"
"BEL","","ALL","2002","80.4"
"BEL","","ALL","2003","75.9"
"BEL","","ALL","2004","74.7"
"BEL","","ALL","2005","74.8"
"BEL","","ALL","2006","74.1"
"BEL","","ALL","2007","73.6"
"BEL","","ALL","2008","74"
"BEL","","ALL","2009","78.1"
"BEL","","ALL","2010","78.16"
"BEL","","ALL","2011","77.98"
"BEL","","ALL","2012","78.42"
"BEL","","ALL","2013","79.61"
"BIH","","ALL","1983","83.2"
"BIH","","ALL","1984","83.6"
"BIH","","ALL","1985","80.6"
"BIH","","ALL","1986","81.8"
"BIH","","ALL","1987","80.1"
"BIH","","ALL","1988","81.8"
"BIH","","ALL","1989","79.3"
"BIH","","ALL","1990","79.3"
"BIH","","ALL","1991","70.9"
"BIH","","ALL","1992","72.5"
"BIH","","ALL","1993","65.5"
"BIH","","ALL","1994","50.9"
"BIH","","ALL","1995","62.8"
"BIH","","ALL","1999","62.6"
"BLR","","ALL","1980","92.5"
"BLR","","ALL","1985","91.9"
"BLR","","ALL","1986","90.5"
"BLR","","ALL","1987","88.6"
"BLR","","ALL","1988","85.6"
"BLR","","ALL","1989","82.2"
"BLR","","ALL","1990","81.3"
"BLR","","ALL","1991","82.6"
"BLR","","ALL","1992","84.3"
"BLR","","ALL","1993","88.3"
"BLR","","ALL","1994","88.7"
"","CARINFONET","ALL","1980","84.53"
"","CARINFONET","ALL","1985","84.76"
"","CARINFONET","ALL","1986","85.02"
"","CARINFONET","ALL","1987","85.17"
"","CARINFONET","ALL","1988","84.36"
"","CARINFONET","ALL","1989","80.66"
"","CARINFONET","ALL","1990","81.15"
"","CARINFONET","ALL","1991","80.18"
"","CARINFONET","ALL","1992","77.21"
"","CARINFONET","ALL","1993","76.87"
"","CARINFONET","ALL","1994","75.44"
"","CARINFONET","ALL","1995","74.34"
"","CARINFONET","ALL","1996","74.41"
"","CARINFONET","ALL","1997","79.06"
"","CARINFONET","ALL","1998","81.57"
"","CARINFONET","ALL","1999","83.65"
"","CARINFONET","ALL","2000","84.46"
"","CARINFONET","ALL","2001","83.88"
"","CARINFONET","ALL","2002","81.89"
"","CARINFONET","ALL","2003","79.57"
"","CARINFONET","ALL","2004","85.06"
"","CARINFONET","ALL","2005","84.14"
