,Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,City
0,Hubei,China,2/08/2020 22:00,27100,1439,780,
1,Guangdong,China,2/08/2020 22:00,1120,125,1,
2,Zhejiang,China,2/08/2020 22:00,1075,185,0,
3,Henan,China,2/08/2020 22:00,1033,131,6,
4,Hunan,China,2/08/2020 22:00,838,159,1,
5,Anhui,China,2/08/2020 22:00,779,72,1,
6,Jiangxi,China,2/08/2020 22:00,740,72,0,
7,Jiangsu,China,2/08/2020 22:00,468,51,0,
8,Chongqing,China,2/08/2020 22:00,446,39,2,
9,Shandong,China,2/08/2020 22:00,435,50,1,
10,Sichuan,China,2/08/2020 22:00,386,60,1,
11,Beijing,China,2/08/2020 22:00,315,34,2,
12,Heilongjiang,China,2/08/2020 22:00,307,13,6,
13,Shanghai,China,2/08/2020 22:00,292,41,1,
14,Fujian,China,2/08/2020 22:00,239,24,0,
15,Hebei,China,2/08/2020 22:00,206,30,2,
16,Shaanxi,China,2/08/2020 22:00,208,20,0,
17,Guangxi,China,2/08/2020 22:00,195,18,1,
18,Yunnan,China,2/08/2020 22:00,140,17,0,
19,Hainan,China,2/08/2020 22:00,128,15,2,
20,Shanxi,China,2/08/2020 22:00,115,21,0,
21,Liaoning,China,2/08/2020 22:00,105,8,0,
22,Guizhou,China,2/08/2020 22:00,96,7,1,
23,Tianjin,China,2/08/2020 22:00,88,4,1,
24,Gansu,China,2/08/2020 22:00,79,12,1,
25,Jilin,China,2/08/2020 22:00,78,5,1,
26,Yokohama,Japan,2/08/2020 22:00,64,0,0,
27,Inner Mongolia,China,2/08/2020 22:00,54,5,0,
28,Ningxia,China,2/08/2020 22:00,45,13,0,
29,Xinjiang,China,2/08/2020 22:00,45,0,0,
30,,Singapore,2/08/2020 22:00,40,2,0,
31,,Thailand,2/08/2020 22:00,32,10,0,
32,Hong Kong,Hong Kong,2/08/2020 22:00,26,0,1,
33,,Japan,2/08/2020 22:00,25,4,0,
34,,S. Korea,2/08/2020 22:00,25,2,0,
35,Qinghai,China,2/08/2020 22:00,18,3,0,
36,Taiwan,Taiwan,2/08/2020 22:00,17,1,0,
37,,Malaysia,2/08/2020 22:00,16,1,0,
38,,Germany,2/08/2020 22:00,14,0,0,
39,,Vietnam,2/08/2020 22:00,13,3,0,
40,,France,2/08/2020 22:00,11,0,0,
41,Macau,Macao,2/08/2020 22:00,10,1,0,
42,,UAE,2/08/2020 22:00,7,0,0,
43,California,USA,2/08/2020 22:00,6,0,0,"San Benito, Los Angeles, Orange, Santa Clara"
44,Queensland,Australia,2/08/2020 22:00,5,0,0,
45,New South Wales,Australia,2/08/2020 22:00,4,3,0,
46,Victoria,Australia,2/08/2020 22:00,4,2,0,
47,British Columbia,Canada,2/08/2020 22:00,4,0,0,
48,Ontario,Canada,2/08/2020 22:00,3,0,0,
49,,India,2/08/2020 22:00,3,0,0,
50,,Philippines,2/08/2020 22:00,3,0,1,
51,,UK,2/08/2020 22:00,3,0,0,
52,,Italy,2/08/2020 22:00,3,0,0,
53,,Russia,2/08/2020 22:00,2,0,0,
54,Illinois,USA,2/08/2020 22:00,2,2,0,Chicago
55,South Australia,Australia,2/08/2020 22:00,2,0,0,
56,,Cambodia,2/08/2020 22:00,1,1,0,
57,,Finland,2/08/2020 22:00,1,1,0,
58,,Sri Lanka,2/08/2020 22:00,1,1,0,
59,Tibet,China,2/08/2020 22:00,1,0,0,
60,,Nepal,2/08/2020 22:00,1,0,0,
61,,Spain,2/08/2020 22:00,1,0,0,
62,,Sweden,2/08/2020 22:00,1,0,0,
63,Massachusetts,USA,2/08/2020 22:00,1,0,0,Boston
64,WA,USA,2/08/2020 22:00,1,0,0,Seattle
65,Arizona,USA,2/08/2020 22:00,1,0,0,Tempe
66,Brussels,Belgium,2/08/2020 22:00,1,0,0,
67,WI,USA,2/08/2020 22:00,1,0,0,Madison
