,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,City
0,Hubei,China,2/26/2020 23:30,65596,2641,23222,
1,Guangdong,China,2/26/2020 23:30,1347,7,873,
2,Zhejiang,China,2/26/2020 23:30,1205,1,885,
3,Shandong,China,2/26/2020 23:30,756,6,381,
4,Henan,China,2/26/2020 23:30,1272,20,1062,
5,Anhui,China,2/26/2020 23:30,989,6,768,
6,Jiangxi,China,2/26/2020 23:30,934,1,754,
7,Hunan,China,2/26/2020 23:30,1017,4,793,
8,Heilongjiang,China,2/26/2020 23:30,480,13,262,
9,Sichuan,China,2/26/2020 23:30,534,3,313,
10,Chongqing,China,2/26/2020 23:30,576,6,384,
11,Jiangsu,China,2/26/2020 23:30,631,0,494,
12,Beijing,China,2/26/2020 23:30,410,5,248,
13,Guangxi,China,2/26/2020 23:30,252,2,159,
14,Fujian,China,2/26/2020 23:30,296,1,226,
15,Shanghai,China,2/26/2020 23:30,337,3,276,
16,Hebei,China,2/26/2020 23:30,317,6,264,
17,Shaanxi,China,2/26/2020 23:30,245,1,194,
18,Yunnan,China,2/26/2020 23:30,174,2,144,
19,Tianjin,China,2/26/2020 23:30,135,3,96,
20,Hainan,China,2/26/2020 23:30,168,5,129,
21,Hong Kong,Hong Kong,2/26/2020 23:30,91,2,24,
22,Guizhou,China,2/26/2020 23:30,146,2,112,
23,Liaoning,China,2/26/2020 23:30,121,1,92,
24,Shanxi,China,2/26/2020 23:30,133,0,104,
25,Inner Mongolia,China,2/26/2020 23:30,75,0,38,
26,Xinjiang,China,2/26/2020 23:30,76,2,34,
27,Jilin,China,2/26/2020 23:30,93,1,65,
28,Ningxia,China,2/26/2020 23:30,71,0,65,
29,Taiwan,Taiwan,2/26/2020 23:30,32,1,5,
30,Gansu,China,2/26/2020 23:30,91,2,81,
31,Macau,Macao,2/26/2020 23:30,10,0,7,
32,Qinghai,China,2/26/2020 23:30,18,0,18,
33,Tibet,China,2/26/2020 23:30,1,0,1,
34,,S. Korea,2/26/2020 23:30,1595,13,24,
35,Yokohama,Japan,2/26/2020 23:30,705,4,10,
36,,Italy,2/26/2020 23:30,470,12,3,
37,,Japan,2/26/2020 23:30,189,3,32,
38,,Iran,2/26/2020 23:30,139,19,3,
39,,Singapore,2/26/2020 23:30,93,0,62,
40,,Thailand,2/26/2020 23:30,40,0,22,
41,,Bahrain,2/26/2020 23:30,33,0,0,
42,,Germany,2/26/2020 23:30,27,0,15,
43,,Kuwait,2/26/2020 23:30,26,0,0,
44,,Malaysia,2/26/2020 23:30,22,0,20,
45,,France,2/26/2020 23:30,18,2,11,
46,,Vietnam,2/26/2020 23:30,16,0,16,
47,,UAE,2/26/2020 23:30,13,0,3,
48,,UK,2/26/2020 23:30,13,0,8,
49,,Spain,2/26/2020 23:30,13,0,2,
50,,Iraq,2/26/2020 23:30,5,0,0,
51,,Oman,2/26/2020 23:30,4,0,0,
52,,Philippines,2/26/2020 23:30,3,1,2,
53,,India,2/26/2020 23:30,3,0,3,
54,,Croatia,2/26/2020 23:30,3,0,0,
55,,Russia,2/26/2020 23:30,2,0,2,
56,,Austria,2/26/2020 23:30,2,0,0,
57,,Israel,2/26/2020 23:30,2,0,0,
58,,Lebanon,2/26/2020 23:30,2,0,0,
59,,Pakistan,2/26/2020 23:30,2,0,0,
60,,Sweden,2/26/2020 23:30,2,0,0,
61,,Finland,2/26/2020 23:30,2,0,1,
62,,Afghanistan,2/26/2020 23:30,1,0,0,
63,,Algeria,2/26/2020 23:30,1,0,0,
64,Brussels,Belgium,2/26/2020 23:30,1,0,1,
65,,Cambodia,2/26/2020 23:30,1,0,1,
66,,Egypt,2/26/2020 23:30,1,0,1,
67,,Nepal,2/26/2020 23:30,1,0,1,
68,,Sri Lanka,2/26/2020 23:30,1,0,1,
69,,Switzerland,2/26/2020 23:30,1,0,0,
70,,Brazil,2/26/2020 23:30,1,0,0,
71,,Georgia,2/26/2020 23:30,1,0,0,
72,,Greece,2/26/2020 23:30,1,0,0,
73,,North Macedonia,2/26/2020 23:30,1,0,0,
74,,Norway,2/26/2020 23:30,1,0,0,
75,,Romania,2/26/2020 23:30,1,0,0,
76,British Columbia,Canada,2/26/2020 23:30,7,0,0,
77,Ontario,Canada,2/26/2020 23:30,5,0,3,
78,Massachusetts,USA,2/26/2020 23:30,1,0,0,Boston
79,Illinois,USA,2/26/2020 23:30,2,0,2,Chicago
80,Wisconsin,USA,2/26/2020 23:30,1,0,0,Madison
81,WA,USA,2/26/2020 23:30,1,0,1,Seattle
82,California,USA,2/26/2020 23:30,11,0,2,"Sacramento, San Diego, San Benito, Los Angeles, Orange, Santa Clara, Humboldt"
83,Arizona,USA,2/26/2020 23:30,1,0,0,Tempe
84,Texas,USA,2/26/2020 23:30,1,0,0,San Antonio
85,Nebraska,USA,2/26/2020 23:30,42,0,0,
86,Victoria,Australia,2/26/2020 23:30,7,0,4,
87,New South Wales,Australia,2/26/2020 23:30,4,0,4,
88,Queensland,Australia,2/26/2020 23:30,8,0,5,
89,Western Australia,Australia,2/26/2020 23:30,1,0,0,
90,South Australia,Australia,2/26/2020 23:30,3,0,2,
