,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
0,Hubei,China,3/01/2020  23:00,67103,2803,33757
1,Guangdong,China,3/01/2020  23:00,1350,7,1034
2,Zhejiang,China,3/01/2020  23:00,1206,1,1050
3,Shandong,China,3/01/2020  23:00,758,6,455
4,Henan,China,3/01/2020  23:00,1272,22,1205
5,Anhui,China,3/01/2020  23:00,990,6,888
6,Jiangxi,China,3/01/2020  23:00,935,1,850
7,Hunan,China,3/01/2020  23:00,1018,4,876
8,Heilongjiang,China,3/01/2020  23:00,480,13,350
9,Sichuan,China,3/01/2020  23:00,538,3,378
10,Chongqing,China,3/01/2020  23:00,576,6,450
11,Jiangsu,China,3/01/2020  23:00,631,0,536
12,Beijing,China,3/01/2020  23:00,414,8,282
13,Guangxi,China,3/01/2020  23:00,252,2,188
14,Fujian,China,3/01/2020  23:00,296,1,247
15,Shanghai,China,3/01/2020  23:00,337,3,290
16,Hebei,China,3/01/2020  23:00,318,6,294
17,Shaanxi,China,3/01/2020  23:00,245,1,209
18,Yunnan,China,3/01/2020  23:00,174,2,163
19,Tianjin,China,3/01/2020  23:00,136,3,111
20,Hainan,China,3/01/2020  23:00,168,5,151
21,Guizhou,China,3/01/2020  23:00,146,2,114
22,Liaoning,China,3/01/2020  23:00,122,1,103
23,Shanxi,China,3/01/2020  23:00,133,0,116
24,Inner Mongolia,China,3/01/2020  23:00,75,0,52
25,Xinjiang,China,3/01/2020  23:00,76,3,64
26,Jilin,China,3/01/2020  23:00,93,1,78
27,Ningxia,China,3/01/2020  23:00,74,0,69
28,Gansu,China,3/01/2020  23:00,91,2,84
29,Qinghai,China,3/01/2020  23:00,18,0,18
30,Tibet,China,3/01/2020  23:00,1,0,1
31,,S. Korea,3/01/2020  23:00,4212,22,30
32,,Italy,3/01/2020  23:00,1701,41,83
33,,Iran,3/01/2020  23:00,978,54,175
34,Yokohama,Japan,3/01/2020  23:00,705,6,10
35,,Japan,3/01/2020  23:00,256,6,42
36,,France,3/01/2020  23:00,130,2,12
