,Country/Region,Confirmed,Deaths,Recovered
0,World,2162341,145471.0,547069.0
1,China,82341,3342.0,77892.0
2,USA,677570,34617.0,57508.0
3,Spain,184948,19315.0,74797.0
4,Italy,168941,22170.0,40164.0
5,France,146060,17920.0,32812.0
6,Germany,137698,4052.0,77000.0
7,UK,103093,13729.0,0.0
8,Iran,77995,4869.0,52229.0
9,Turkey,74193,1643.0,7089.0
10,Belgium,34809,4857.0,7562.0
11,Brazil,30683,1947.0,14026.0
12,Canada,30106,1195.0,9729.0
13,Netherlands,29214,3315.0,250.0
14,Russia,27938,232.0,2304.0
15,Switzerland,26732,1281.0,15900.0
16,Portugal,18841,629.0,493.0
17,Austria,14476,410.0,8986.0
18,India,13430,448.0,1768.0
19,Ireland,13271,486.0,77.0
20,Israel,12758,142.0,2818.0
21,Sweden,12540,1333.0,550.0
22,Peru,12491,274.0,6120.0
23,S. Korea,10613,229.0,7757.0
24,Japan,9231,190.0,935.0
25,Chile,8807,105.0,3299.0
26,Ecuador,8225,403.0,838.0
27,Poland,7918,314.0,774.0
28,Romania,7707,392.0,1357.0
29,Pakistan,6919,128.0,1645.0
30,Norway,6905,152.0,32.0
31,Denmark,6879,321.0,3023.0
32,Australia,6468,63.0,3747.0
33,Czechia,6433,169.0,972.0
34,Saudi Arabia,6380,83.0,990.0
35,Mexico,5847,449.0,2125.0
36,UAE,5825,35.0,1095.0
37,Philippines,5660,362.0,435.0
38,Indonesia,5516,496.0,548.0
39,Serbia,5318,103.0,443.0
40,Malaysia,5182,84.0,2766.0
41,Singapore,4427,10.0,683.0
42,Belarus,4204,40.0,203.0
43,Ukraine,4161,116.0,186.0
44,Qatar,4103,7.0,415.0
45,Dominican Republic,3755,196.0,215.0
46,Panama,3751,103.0,75.0
47,Luxembourg,3444,69.0,552.0
48,Finland,3369,75.0,1700.0
49,Colombia,3233,144.0,550.0
50,Egypt,2673,196.0,596.0
51,Thailand,2672,46.0,1593.0
52,Argentina,2669,122.0,631.0
53,South Africa,2605,48.0,903.0
54,Morocco,2283,130.0,249.0
55,Algeria,2268,348.0,783.0
56,Greece,2207,105.0,269.0
57,Moldova,2154,54.0,235.0
58,Croatia,1791,35.0,529.0
59,Iceland,1739,8.0,1144.0
60,Bahrain,1700,7.0,703.0
61,Hungary,1652,142.0,199.0
62,Bangladesh,1572,60.0,49.0
63,Kuwait,1524,3.0,225.0
64,Iraq,1434,80.0,856.0
65,Estonia,1434,36.0,133.0
66,Kazakhstan,1402,17.0,277.0
67,New Zealand,1401,9.0,770.0
68,Uzbekistan,1349,4.0,129.0
69,Azerbaijan,1283,15.0,460.0
70,Slovenia,1268,61.0,174.0
71,Bosnia and Herzegovina,1167,43.0,277.0
72,Armenia,1159,18.0,358.0
73,Lithuania,1128,32.0,178.0
74,North Macedonia,1081,46.0,121.0
75,Oman,1019,4.0,176.0
76,Hong Kong,1018,4.0,485.0
77,Cameroon,996,22.0,164.0
78,Slovakia,977,8.0,167.0
79,Cuba,862,27.0,171.0
80,Afghanistan,840,30.0,54.0
81,Tunisia,822,37.0,43.0
82,Bulgaria,800,38.0,122.0
83,Cyprus,735,12.0,77.0
84,Diamond Princess,712,13.0,644.0
85,Latvia,675,5.0,57.0
86,Andorra,673,33.0,169.0
87,Lebanon,663,21.0,86.0
88,Ivory Coast,654,6.0,146.0
89,Costa Rica,642,4.0,74.0
90,Ghana,641,8.0,83.0
91,Djibouti,591,2.0,73.0
92,Niger,584,14.0,90.0
93,Burkina Faso,546,32.0,257.0
94,Albania,518,26.0,277.0
95,Uruguay,502,9.0,286.0
96,Kyrgyzstan,466,5.0,91.0
97,Channel Islands,457,19.0,73.0
98,Nigeria,442,13.0,152.0
99,Bolivia,441,29.0,14.0
100,Guinea,438,1.0,49.0
101,San Marino,426,38.0,55.0
102,Honduras,426,35.0,9.0
103,Malta,412,3.0,82.0
104,Jordan,402,7.0,259.0
105,Taiwan,395,6.0,155.0
106,Réunion,394,0.0,237.0
107,Palestine,374,2.0,63.0
108,Georgia,348,3.0,76.0
109,Senegal,335,2.0,194.0
110,Mauritius,324,9.0,81.0
111,Montenegro,303,4.0,55.0
112,Isle of Man,284,4.0,154.0
113,Vietnam,268,0.0,177.0
114,DRC,267,22.0,23.0
115,Sri Lanka,238,7.0,68.0
116,Kenya,234,11.0,53.0
117,Mayotte,233,3.0,69.0
118,Venezuela,204,9.0,111.0
119,Guatemala,196,5.0,19.0
120,Faeroe Islands,184,0.0,169.0
121,Paraguay,174,8.0,30.0
122,Mali,171,13.0,34.0
123,El Salvador,164,6.0,33.0
124,Martinique,158,8.0,73.0
125,Guadeloupe,145,8.0,67.0
126,Jamaica,143,5.0,21.0
