Age,M,F
0-4,189470128,174197553
5-9,190749579,174490548
10-14,189599781,172464178
15-19,186685250,169549634
20-24,186931197,170739436
25-29,190817003,176003123
30-34,194955361,183234984
35-39,169373256,160662496
40-44,157187255,150104233
45-49,157970530,152211589
50-54,143601813,140498526
55-59,117722276,116042944
60-64,95023653,95741201
65-69,77297000,80601070
70-74,47838781,53557310
75-79,30051554,35948009
80-84,17590304,23647199
85-89,7718003,12169415
90-94,2340232,4577215
95-99,490681,1272293
100+,52608,192065
