Age,M,F
0-4,268625123,254451190
5-9,258507104,244894291
10-14,247150130,233654193
15-19,234636557,221247217
20-24,222741116,210818132
25-29,210334821,200212160
30-34,194858880,187759645
35-39,176410193,171560358
40-44,152568576,149702843
45-49,132949791,131884359
50-54,114421453,115166557
55-59,96092123,98279263
60-64,75834234,79635962
65-69,55248781,60023459
70-74,35605590,41570479
75-79,22596927,28138703
80-84,12678868,17322715
85-89,5440614,8203981
90-94,1703337,2949712
95-99,389692,770249
100+,49451,114878
