Age,M,F
0-4,239876002,222511699
5-9,237463487,219338313
10-14,230847764,212221816
15-19,224169338,205945258
20-24,222253567,205223043
25-29,224780885,209190593
30-34,226877270,214746313
35-39,197592422,188913796
40-44,180840763,174538534
45-49,176842244,172552876
50-54,160101240,158779237
55-59,131875992,132002624
60-64,105966734,108557081
65-69,84475097,89440657
70-74,51204432,58127267
75-79,31806221,38600990
80-84,18304475,24840859
85-89,7832956,12193375
90-94,2374026,4344963
95-99,520794,1141726
100+,60815,171472
