Age,M,F
0-4,16559177,15844180
5-9,16606467,15958155
10-14,16825111,16239621
15-19,17406649,16900102
20-24,17682745,17386633
25-29,17483589,17255357
30-34,16960587,16925065
35-39,16181508,16392028
40-44,14522958,15001685
45-49,12763316,13458250
50-54,11698501,12557367
55-59,10287856,11277910
60-64,8307029,9374733
65-69,6482569,7565274
70-74,4525038,5569692
75-79,2954378,3947711
80-84,1829644,2714654
85-89,874694,1527315
90-94,332880,694167
95-99,82193,202607
100+,9951,30078
